06/07/2016 13:59:55,0-2571709,UNLIMITED-TRACK,32.82124,-117.60615,"",""
06/07/2016 13:58:23,0-2571609,UNLIMITED-TRACK,32.81868,-117.60480,"",""
06/07/2016 13:57:43,0-2571525,UNLIMITED-TRACK,32.82087,-117.60577,"",""
06/07/2016 13:54:33,0-2571709,UNLIMITED-TRACK,32.80981,-117.60002,"",""
06/07/2016 13:53:57,0-2571518,UNLIMITED-TRACK,32.80845,-117.59926,"",""
06/07/2016 13:53:24,0-2571609,UNLIMITED-TRACK,32.80733,-117.59846,"",""
06/07/2016 13:50:28,0-2571525,UNLIMITED-TRACK,32.80052,-117.59489,"",""
06/07/2016 13:49:32,0-2571709,UNLIMITED-TRACK,32.79846,-117.59341,"",""
06/07/2016 13:49:23,0-2571609,UNLIMITED-TRACK,32.79819,-117.59317,"",""
06/07/2016 13:45:29,0-2571525,UNLIMITED-TRACK,32.79412,-117.58667,"",""
06/07/2016 13:45:09,0-2571518,UNLIMITED-TRACK,32.79466,-117.58614,"",""
06/07/2016 13:44:33,0-2571709,UNLIMITED-TRACK,32.79544,-117.58546,"",""
06/07/2016 13:43:25,0-2571609,UNLIMITED-TRACK,32.79549,-117.58589,"",""
06/07/2016 13:40:26,0-2571525,UNLIMITED-TRACK,32.79580,-117.58611,"",""
06/07/2016 13:40:14,0-2571518,UNLIMITED-TRACK,32.79306,-117.58156,"",""
06/07/2016 13:39:33,0-2571709,UNLIMITED-TRACK,32.79222,-117.58117,"",""
06/07/2016 13:38:25,0-2571609,UNLIMITED-TRACK,32.78987,-117.58306,"",""
06/07/2016 13:35:24,0-2571525,UNLIMITED-TRACK,32.79620,-117.58646,"",""
06/07/2016 13:35:08,0-2571518,UNLIMITED-TRACK,32.79102,-117.58107,"",""
06/07/2016 13:34:33,0-2571709,UNLIMITED-TRACK,32.79102,-117.58083,"",""
06/07/2016 13:33:27,0-2571609,UNLIMITED-TRACK,32.79064,-117.57678,"",""
06/07/2016 13:30:25,0-2571525,UNLIMITED-TRACK,32.79663,-117.58673,"",""
06/07/2016 13:30:08,0-2571518,UNLIMITED-TRACK,32.79042,-117.56845,"",""
06/07/2016 13:29:37,0-2571709,UNLIMITED-TRACK,32.79065,-117.56711,"",""
06/07/2016 13:28:27,0-2571609,UNLIMITED-TRACK,32.79086,-117.56427,"",""
