"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
104,9/30/2014 3:24:38,589,9/29/2014 20:24:38,11/23/2015 21:05:39,2,18.15,41.00,49.93,4.69,
105,9/30/2014 3:25:23,782,9/29/2014 20:25:23,11/23/2015 21:06:41,1,25.38,40.34,48.61,1.61,
106,9/30/2014 3:25:33,916,9/29/2014 20:25:33,11/23/2015 21:06:44,2,16.70,40.67,48.61,0.46,
107,9/30/2014 3:26:21,895,9/29/2014 20:26:21,11/23/2015 21:07:21,1,2.60,22.81,32.73,27.68,"noise                                             "
108,9/30/2014 3:26:10,762,9/29/2014 20:26:10,11/23/2015 21:07:32,1,10.84,41.33,49.27,1.27,
109,9/30/2014 3:26:09,961,9/29/2014 20:26:09,11/23/2015 21:07:36,2,12.07,41.33,49.93,2.60,
110,9/30/2014 3:26:31,572,9/29/2014 20:26:31,11/23/2015 21:07:43,1,13.67,40.34,48.94,3.47,
111,9/30/2014 3:26:27,622,9/29/2014 20:26:27,11/23/2015 21:07:46,2,20.97,41.00,48.94,1.07,
112,9/30/2014 3:26:57,26,9/29/2014 20:26:57,11/23/2015 21:09:00,1,16.56,40.67,49.93,1.29,
113,9/30/2014 3:26:54,757,9/29/2014 20:26:54,11/23/2015 21:09:03,2,13.45,41.00,49.60,3.60,
114,9/30/2014 3:27:25,757,9/29/2014 20:27:25,11/23/2015 21:09:20,1,15.40,41.33,49.93,3.05,
115,9/30/2014 3:27:26,231,9/29/2014 20:27:26,11/23/2015 21:09:26,2,21.12,40.01,49.93,4.38,
116,9/30/2014 3:27:57,178,9/29/2014 20:27:57,11/23/2015 21:10:11,1,17.86,41.99,48.94,4.59,
117,9/30/2014 3:27:54,197,9/29/2014 20:27:54,11/23/2015 21:10:16,2,10.63,42.65,49.27,3.78,
118,9/30/2014 3:28:30,208,9/29/2014 20:28:30,11/23/2015 21:10:43,1,20.61,40.67,49.27,0.70,
119,9/30/2014 3:28:30,92,9/29/2014 20:28:30,11/23/2015 21:10:48,2,18.51,42.98,50.26,4.35,
120,9/30/2014 3:29:00,708,9/29/2014 20:29:00,11/23/2015 21:11:52,1,10.99,41.00,47.94,1.57,
121,9/30/2014 3:29:00,964,9/29/2014 20:29:00,11/23/2015 21:11:55,2,16.63,42.65,48.94,1.49,
122,9/30/2014 3:29:28,708,9/29/2014 20:29:28,11/23/2015 21:11:58,1,13.16,42.65,49.60,3.93,
123,9/30/2014 3:29:33,839,9/29/2014 20:29:33,11/23/2015 21:12:04,2,19.96,40.01,47.94,2.00,
124,9/30/2014 3:30:16,747,9/29/2014 20:30:16,11/23/2015 21:12:56,1,8.82,41.99,49.93,3.45,
125,9/30/2014 3:30:05,852,9/29/2014 20:30:05,11/23/2015 21:12:58,2,16.27,41.66,48.94,2.99,
126,9/30/2014 3:30:51,292,9/29/2014 20:30:51,11/23/2015 21:15:41,1,25.38,41.66,48.94,2.02,
127,9/30/2014 3:30:53,267,9/29/2014 20:30:53,11/23/2015 21:15:44,2,23.50,41.66,48.94,1.38,
128,9/30/2014 3:32:50,205,9/29/2014 20:32:50,11/23/2015 21:19:23,1,5.93,42.32,49.27,,
129,9/30/2014 3:32:52,715,9/29/2014 20:32:52,11/23/2015 21:19:26,2,3.97,41.99,48.61,,
130,9/30/2014 3:32:52,548,9/29/2014 20:32:52,11/23/2015 21:19:38,2,4.26,41.66,50.92,,
131,9/30/2014 3:32:50,507,9/29/2014 20:32:50,11/23/2015 21:19:51,1,6.22,42.32,49.27,,
132,9/30/2014 3:32:50,341,9/29/2014 20:32:50,11/23/2015 21:20:10,1,6.79,41.66,49.60,,
133,9/30/2014 4:27:40,795,9/29/2014 21:27:40,11/23/2015 22:50:52,1,0.94,56.87,68.12,-0.40,"noise                                             "
134,9/30/2014 4:28:40,687,9/29/2014 21:28:40,11/23/2015 22:51:25,1,14.10,41.99,49.27,6.46,
135,9/30/2014 4:28:41,49,9/29/2014 21:28:41,11/23/2015 22:51:27,2,10.34,41.33,50.92,6.76,
136,9/30/2014 4:29:35,793,9/29/2014 21:29:35,11/23/2015 22:52:15,1,18.58,41.33,49.27,5.09,
137,9/30/2014 4:29:33,139,9/29/2014 21:29:33,11/23/2015 22:52:18,2,11.42,42.98,48.28,7.04,
138,9/30/2014 4:31:08,596,9/29/2014 21:31:08,11/23/2015 22:54:02,1,1.30,17.30,23.49,0.31,
139,9/30/2014 4:31:09,53,9/29/2014 21:31:09,11/23/2015 22:54:05,2,1.15,15.71,23.96,0.41,
140,9/30/2014 4:31:38,305,9/29/2014 21:31:38,11/23/2015 22:54:40,1,15.18,41.33,48.61,1.45,
141,9/30/2014 4:31:40,765,9/29/2014 21:31:40,11/23/2015 22:54:43,2,8.75,42.65,48.61,6.56,
142,9/30/2014 4:32:34,930,9/29/2014 21:32:34,11/23/2015 22:55:06,1,6.00,42.98,50.26,5.10,
143,9/30/2014 4:32:32,271,9/29/2014 21:32:32,11/23/2015 22:55:09,2,8.60,42.98,49.60,7.63,
